id,publisher,classification,released_games,unreleased_games,total_revenue,avg_revenue_per_game,median_revenue_per_game,hq_country,pct_inhouse,action,adventure,arcade,casino,lifestyle,puzzle,racing,rpg,shooter,simulation,sports,strategy,tabletop
57,The Fun Pimps Entertainment LLC,AA,2,0,241400000.0,120700000.0,120700000.0,United States,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
58,Starbreeze Publishing,Indie,6,0,235300000.0,39200000.0,83496.0,Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
59,Annapurna Interactive,Indie,40,10,231800000.0,5800000.0,716000.0,Sweden,0.0,17.0,43.0,13.0,0.0,0.0,15.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0
60,Embark Studios,AA,2,0,228700000.0,114300000.0,228700000.0,Sweden,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
61,Curve Games,Indie,45,3,227800000.0,5100000.0,551000.0,Sweden,0.0,20.0,7.0,26.0,0.0,0.0,11.0,4.0,4.0,2.0,15.0,2.0,9.0,0.0
62,PlayWay S. A.,Indie,236,160,226500000.0,960000.0,130000.0,,0.0,13.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,71.0,0.0,10.0,1.0
63,Kepler Interactive,Indie,13,2,219600000.0,16900000.0,2400000.0,Sweden,0.0,46.0,0.0,8.0,0.0,0.0,0.0,0.0,38.0,0.0,8.0,0.0,0.0,0.0
64,Psyonix,Indie,1,0,218100000.0,218100000.0,0.0,United States,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
65,Daedalic Entertainment,Indie,93,9,215900000.0,2300000.0,698000.0,Sweden,24.0,14.0,34.0,9.0,0.0,0.0,10.0,0.0,2.0,0.0,8.0,0.0,24.0,0.0
66,SCS Software,AA,6,0,212100000.0,35400000.0,1200000.0,Czech Republic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
67,Giants Software,Indie,10,0,211800000.0,21200000.0,18600000.0,Switzerland,90.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,80.0,0.0,0.0,0.0
68,Arc Games,Indie,17,1,205900000.0,12100000.0,3100000.0,,0.0,18.0,0.0,6.0,0.0,0.0,0.0,0.0,47.0,18.0,0.0,0.0,12.0,0.0
69,Unknown Worlds Entertainment,AA,6,0,204300000.0,34100000.0,53000000.0,United States,83.0,33.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,33.0,17.0,0.0,0.0,0.0
70,11 bit studios,AA,21,1,203600000.0,9700000.0,2500000.0,,41.0,23.0,18.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,45.0,0.0
71,ConcernedApe,AA,1,0,202100000.0,202100000.0,202100000.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
72,Humble Games,Indie,50,5,199400000.0,4000000.0,716000.0,United States,0.0,35.0,9.0,7.0,0.0,0.0,4.0,0.0,9.0,7.0,11.0,0.0,18.0,0.0
73,Hooded Horse,Indie,22,19,197000000.0,9000000.0,3500000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,8.0,0.0,84.0,0.0
74,Crytek,AA,11,0,196900000.0,17900000.0,6600000.0,Germany,91.0,10.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,50.0,0.0,10.0,0.0,0.0
75,Nacon,Indie,115,9,193500000.0,1700000.0,610000.0,Sweden,0.0,12.0,1.0,2.0,0.0,2.0,1.0,17.0,9.0,2.0,10.0,36.0,7.0,1.0
